CustomerID,Platform,Age,AgeGroup,Gender,Location,AccountAge_Months,SignupDate,PreferredLanguage,SubscriptionType,PaymentMethod,PaymentPlan,RenewalStatus, MonthlyCharges_INR , TotalCharges_INR ,PaymentDelays,FailedPayments,No_of_Subscription-Pauses,Referred_to_Friend,Avg_Monthly_WatchTime,Weekly_WatchedTime,Sessions_PerMonth,Avg_SessionDuration_Mins,No_of_ActiveDays,Last_LoginDate,No_of_InactiveDays,Content_Completion_Rate,Videos_Watched,Genres_Viewed,WatchlistSize,NumDownloads,PlatformFriends,DeviceRegistered,BufferingFrequency,PlaybackErrors,ServiceFailureCount,NetworkType,SupportTicketsPerMonth,SatisfactionScore,NetPromoterScore,ThumbsUp,ThumbsDown,AdEngagementRate_%,ChurnLabel,ChurnReason
CUST00011,JioHotstar,23,18-24,Female,Jaipur,52,08-09-2019,Telugu,Premium,Credit Card,Quarterly,Yes, ₹ 540.85 ," ₹ 27,700.71 ",0,0,1,No,1149  min,267.2  min,23,44.8,7  days,2024-01-01,0  days,23.2  %,75  nos,Thriller,11,4,2,Mobile,2,0,1,WiFi,0,4,4,22,9,0,0,N/A
CUST00012,Netflix,46,45-54,Male,Delhi,49,14-12-2019,Hindi,Basic,UPI,Annual,Yes, ₹ 166.15 ," ₹ 7,210.80 ",0,0,0,No,836  min,194.4  min,12,44,22  days,2023-12-28,4  days,80.4  %,37  nos,Thriller,19,4,1,Smart TV,3,2,1,4G,1,4,6,51,3,18.2,0,N/A
CUST00013,JioHotstar,26,25-34,Male,Ahmedabad,56,24-05-2019,Kannada,Basic,UPI,Monthly,Yes, ₹ 106.52 ," ₹ 5,488.23 ",0,0,3,No,689  min,160.2  min,25,33.5,7  days,2023-12-20,12  days,74.8  %,54  nos,Drama,29,4,3,Mobile,6,0,0,4G,4,3,7,12,7,37.4,0,N/A
CUST00014,Netflix,37,35-44,Male,Jaipur,31,2021-05-28,Tamil,Standard,UPI,Monthly,No, ₹ 313.23 ," ₹ 8,899.04 ",1,0,1,No,450  min,104.7  min,18,76,15  days,2023-12-28,4  days,88.1  %,35  nos,Sports,24,1,4,Mobile,0,0,0,4G,0,4,5,27,0,0,0,N/A
CUST00015,Netflix,27,25-34,Male,Chennai,12,2022-12-27,Kannada,Standard,UPI,Monthly,Yes, ₹ 325.69 ," ₹ 3,544.21 ",1,1,1,No,787  min,183  min,4,44.9,16  days,2023-12-31,1  days,38.9  %,53  nos,Romance,18,5,1,Tablet,1,0,0,4G,0,2,2,22,8,0,1,Found Alternative
CUST00016,JioHotstar,18,18-24,Female,Ahmedabad,11,2023-01-19,Telugu,Basic,Wallet,Quarterly,Yes, ₹ 146.96 ," ₹ 1,555.45 ",1,0,2,Yes,916  min,213  min,24,32.6,8  days,2023-12-31,1  days,76.6  %,34  nos,Reality,0,4,4,Smart TV,1,1,0,5G,0,2,3,45,12,34.8,0,N/A
CUST00017,Netflix,46,45-54,Female,Bangalore,5,2023-07-15,English,Premium,UPI,Monthly,No, ₹ 500.55 ," ₹ 2,219.77 ",0,1,0,No,555  min,129.1  min,10,17.3,20  days,2023-12-30,2  days,100  %,40  nos,Reality,16,2,1,Mobile,2,1,0,4G,0,3,5,27,9,0,0,N/A
CUST00018,Amazon Prime,24,18-24,Male,Hyderabad,17,2022-08-01,Bengali,Standard,Debit Card,Monthly,Yes, ₹ 288.35 ," ₹ 4,719.50 ",2,0,0,Yes,634  min,147.4  min,22,29.7,1  days,2023-12-29,3  days,55.8  %,33  nos,Sci-Fi,0,4,1,Smart TV,2,1,1,4G,1,4,1,12,8,0,1,Technical Issues
CUST00019,Amazon Prime,32,25-34,Male,Hyderabad,5,2023-07-15,Telugu,Standard,UPI,Annual,Yes, ₹ 308.76 ," ₹ 1,453.88 ",1,1,0,No,1532  min,356.3  min,21,36.6,16  days,2023-12-30,2  days,100  %,34  nos,Sports,24,7,5,Mobile,3,2,2,5G,0,4,3,25,5,0,0,N/A
CUST00020,JioHotstar,36,35-44,Female,Bangalore,19,2022-06-09,English,Premium,Net Banking,Monthly,Yes, ₹ 505.67 ," ₹ 8,470.12 ",0,1,1,No,1414  min,328.8  min,14,36.5,10  days,2023-12-26,6  days,82.4  %,67  nos,Romance,19,5,3,Smart TV,2,3,2,WiFi,1,5,9,18,3,0,0,N/A
CUST00021,Netflix,30,25-34,Female,Kolkata,4,2023-09-03,Hindi,Standard,UPI,Annual,Yes, ₹ 300.11 ," ₹ 1,099.93 ",0,0,0,No,1337  min,310.9  min,26,33.3,19  days,2023-12-20,12  days,18.6  %,14  nos,Sports,2,4,2,Mobile,4,1,1,WiFi,0,5,6,25,7,0,0,N/A
CUST00022,ZEE5,33,25-34,Female,Hyderabad,40,2020-08-27,Gujarati,Basic,UPI,Monthly,No, ₹ 146.11 ," ₹ 5,665.67 ",0,0,0,No,1927  min,448.1  min,9,72.8,0  days,2023-12-30,2  days,89.9  %,0  nos,Horror,11,6,3,Mobile,2,0,0,WiFi,1,3,2,33,6,27.5,0,N/A
CUST00023,SonyLiv,39,35-44,Female,Pune,43,2020-06-09,Tamil,Family,UPI,Monthly,No, ₹ 657.89 ," ₹ 24,797.18 ",1,0,0,No,1137  min,264.4  min,15,51.5,5  days,2023-12-30,2  days,40.2  %,23  nos,Comedy,28,5,4,Laptop,3,0,0,WiFi,1,1,6,22,8,0,0,N/A
CUST00024,SonyLiv,35,35-44,Female,Chennai,19,2022-06-04,Tamil,Premium,UPI,Annual,No, ₹ 488.20 ," ₹ 8,193.92 ",0,1,0,No,588  min,136.7  min,21,10.9,21  days,2023-12-31,1  days,74.5  %,72  nos,Sci-Fi,30,6,2,Mobile,3,0,1,5G,1,3,6,14,11,0,0,N/A
CUST00025,Netflix,26,25-34,Female,Pune,23,2022-01-29,Bengali,Premium,Wallet,Monthly,Yes, ₹ 501.44 ," ₹ 10,494.58 ",0,0,0,No,759  min,176.5  min,19,48.6,11  days,2023-12-29,3  days,52.5  %,76  nos,Sports,22,5,4,Mobile,7,1,2,WiFi,2,2,8,26,10,0,0,N/A
CUST00026,Netflix,29,25-34,Female,Kolkata,3,2023-09-15,English,Standard,Credit Card,Annual,Yes, ₹ 321.58 , ₹ 962.46 ,1,1,0,Yes,867  min,201.6  min,14,38.8,15  days,2023-12-30,2  days,55.4  %,34  nos,Reality,16,7,0,Mobile,1,3,1,WiFi,1,5,5,19,15,0,0,N/A
CUST00027,Amazon Prime,47,45-54,Female,Chennai,25,2021-11-17,Kannada,Basic,Debit Card,Monthly,Yes, ₹ 138.54 ," ₹ 3,384.54 ",0,0,0,No,497  min,115.6  min,9,6.3,5  days,2023-12-27,5  days,84.7  %,35  nos,Romance,14,7,1,Smart TV,1,1,0,4G,4,4,9,18,3,44.4,0,N/A
CUST00028,JioHotstar,26,25-34,Female,Chennai,29,2021-07-24,Kannada,Premium,UPI,Quarterly,Yes, ₹ 511.66 ," ₹ 13,831.97 ",0,0,0,Yes,563  min,130.9  min,19,37.7,18  days,2024-01-01,0  days,70.7  %,46  nos,Romance,21,3,2,Mobile,2,2,0,4G,1,5,7,47,10,0,0,N/A
CUST00029,Amazon Prime,28,25-34,Male,Chennai,35,2021-01-20,Malayalam,Premium,Wallet,Annual,Yes, ₹ 510.81 ," ₹ 15,957.64 ",2,1,1,No,1343  min,312.3  min,12,54.6,11  days,2023-12-26,6  days,48.3  %,47  nos,Reality,11,2,4,Mobile,3,3,1,5G,0,3,7,22,5,0,0,N/A
CUST00030,JioHotstar,28,25-34,Male,Chennai,11,2023-02-04,Hindi,Basic,Wallet,Quarterly,No, ₹ 152.49 ," ₹ 1,540.37 ",0,0,0,No,676  min,157.2  min,21,76.3,13  days,2023-12-27,5  days,31  %,31  nos,Reality,2,5,2,Mobile,4,0,1,4G,1,3,2,42,7,57.3,0,N/A
CUST00031,Netflix,35,35-44,Female,Mumbai,52,2019-09-17,English,Premium,UPI,Annual,Yes, ₹ 508.14 ," ₹ 24,301.03 ",2,0,0,No,1399  min,325.3  min,21,24.4,13  days,2024-01-01,0  days,51.5  %,76  nos,Drama,14,4,1,Smart TV,1,1,0,5G,3,2,3,24,7,0,0,N/A
CUST00032,ZEE5,20,18-24,Female,Ahmedabad,42,2020-06-26,Gujarati,Standard,UPI,Monthly,Yes, ₹ 329.07 ," ₹ 13,533.80 ",0,0,0,No,1250  min,290.7  min,10,45.8,12  days,2024-01-01,0  days,63.3  %,19  nos,Thriller,12,5,2,Laptop,1,2,1,WiFi,0,3,8,22,14,0,0,N/A
CUST00033,Amazon Prime,36,35-44,Male,Ahmedabad,6,2023-06-27,Bengali,Basic,Credit Card,Annual,Yes, ₹ 192.65 ," ₹ 1,008.67 ",1,0,0,No,487  min,113.3  min,13,57.4,21  days,2023-12-29,3  days,99.6  %,48  nos,Comedy,15,3,5,Laptop,3,2,1,WiFi,2,3,7,6,15,62.6,0,N/A
CUST00034,JioHotstar,25,25-34,Male,Chennai,57,2019-04-02,Kannada,Standard,Net Banking,Annual,Yes, ₹ 306.92 ," ₹ 17,181.26 ",2,0,1,No,889  min,206.7  min,27,55.9,11  days,2023-12-30,2  days,20.3  %,44  nos,Sci-Fi,3,6,3,Mobile,2,1,0,WiFi,1,3,5,20,6,0,0,N/A
CUST00035,SonyLiv,52,45-54,Female,Pune,37,2020-11-25,Gujarati,Premium,UPI,Monthly,Yes, ₹ 506.64 ," ₹ 17,299.38 ",0,1,0,No,1072  min,249.3  min,17,44.3,19  days,2024-01-01,0  days,66  %,37  nos,Documentary,4,3,3,Laptop,6,0,0,5G,0,2,7,28,4,0,0,N/A
CUST00036,ZEE5,42,35-44,Female,Pune,41,2020-08-07,Hindi,Basic,Credit Card,Annual,Yes, ₹ 145.72 ," ₹ 5,311.49 ",0,0,2,No,1861  min,432.8  min,17,49,21  days,2024-01-01,0  days,69  %,48  nos,Sci-Fi,4,6,7,Mobile,5,1,0,4G,0,4,3,7,15,18.1,0,N/A
CUST00037,SonyLiv,22,18-24,Female,Kolkata,57,2019-03-29,English,Standard,Net Banking,Monthly,No, ₹ 255.93 ," ₹ 12,890.45 ",0,0,0,Yes,967  min,224.9  min,12,66.8,24  days,2023-12-29,3  days,84.6  %,33  nos,Action,0,2,5,Laptop,2,0,0,5G,2,5,5,31,7,0,0,N/A
CUST00038,Netflix,22,18-24,Male,Bangalore,33,2021-04-07,English,Standard,UPI,Quarterly,No, ₹ 281.59 ," ₹ 8,132.48 ",0,1,0,No,506  min,117.7  min,30,60.5,9  days,2024-01-01,0  days,33.3  %,51  nos,Drama,5,4,5,Laptop,6,1,2,WiFi,0,2,8,21,14,0,1,Technical Issues
CUST00039,ZEE5,25,25-34,Female,Pune,28,2021-09-11,Telugu,Basic,Net Banking,Quarterly,Yes, ₹ 154.58 ," ₹ 4,180.53 ",1,0,0,No,1153  min,268.1  min,21,41.3,13  days,2024-01-01,0  days,89.5  %,72  nos,Reality,0,6,4,Laptop,2,0,0,4G,0,3,3,16,5,31,0,N/A
CUST00040,Netflix,24,18-24,Female,Hyderabad,5,2023-07-14,Gujarati,Standard,UPI,Monthly,Yes, ₹ 299.67 ," ₹ 1,371.03 ",1,0,1,No,102  min,23.7  min,20,69.6,5  days,2023-12-07,25  days,78.9  %,78  nos,Sci-Fi,12,3,3,Laptop,6,1,2,WiFi,1,5,4,27,5,0,0,N/A
CUST00041,ZEE5,35,35-44,Male,Jaipur,53,2019-07-30,Malayalam,Standard,UPI,Quarterly,Yes, ₹ 309.07 ," ₹ 14,526.81 ",1,0,0,No,1132  min,263.3  min,12,40.2,14  days,2023-12-31,1  days,79.2  %,17  nos,Romance,0,8,6,Tablet,1,0,1,WiFi,3,5,5,17,10,0,0,N/A
CUST00042,JioHotstar,18,18-24,Male,Mumbai,34,2021-02-23,Marathi,Basic,UPI,Annual,Yes, ₹ 150.28 ," ₹ 5,017.79 ",0,0,0,No,922  min,214.4  min,22,43.6,17  days,2023-12-31,1  days,7.2  %,45  nos,Romance,17,4,2,Smart TV,2,1,0,4G,0,2,4,21,6,38.4,0,N/A
CUST00043,Netflix,33,25-34,Male,Jaipur,52,2019-09-02,Telugu,Premium,Debit Card,Monthly,No, ₹ 499.06 ," ₹ 22,420.68 ",1,0,0,Yes,0  min,0  min,25,17.7,12  days,2023-12-30,2  days,89.2  %,33  nos,Thriller,23,1,1,Mobile,2,1,0,4G,0,4,5,31,8,0,0,N/A
CUST00044,JioHotstar,22,18-24,Male,Jaipur,23,2022-01-24,Marathi,Premium,UPI,Monthly,Yes, ₹ 522.93 ," ₹ 10,570.72 ",0,0,0,Yes,836  min,194.4  min,27,27.7,0  days,2023-12-30,2  days,56.1  %,69  nos,Sports,12,8,7,Desktop,3,1,0,4G,1,2,3,39,4,0,0,N/A
CUST00045,JioHotstar,21,18-24,Male,Lucknow,52,2019-08-29,Gujarati,Standard,Wallet,Annual,Yes, ₹ 309.73 ," ₹ 14,561.92 ",0,0,0,No,587  min,136.5  min,25,57.1,23  days,2023-12-30,2  days,58.5  %,34  nos,Sports,28,5,6,Mobile,3,1,1,WiFi,0,4,5,21,9,0,0,N/A
CUST00046,Amazon Prime,40,35-44,Female,Ahmedabad,8,2023-05-06,Hindi,Standard,Credit Card,Monthly,Yes, ₹ 316.21 ," ₹ 2,169.72 ",3,1,1,No,666  min,154.9  min,23,68.5,15  days,2023-12-12,20  days,39.1  %,38  nos,Sci-Fi,14,8,5,Mobile,2,0,2,WiFi,0,2,7,45,9,0,1,Technical Issues
CUST00047,JioHotstar,20,18-24,Male,Lucknow,21,2022-03-20,English,Family,UPI,Annual,Yes, ₹ 657.89 ," ₹ 13,382.03 ",0,1,0,Yes,586  min,136.3  min,23,42.6,16  days,2023-12-31,1  days,55.9  %,23  nos,Sports,6,6,3,Mobile,3,1,0,5G,1,1,4,34,7,0,1,Technical Issues
CUST00048,Amazon Prime,45,45-54,Female,Mumbai,42,2020-07-02,English,Family,UPI,Monthly,Yes, ₹ 671.32 ," ₹ 24,630.37 ",1,0,0,Yes,640  min,148.8  min,14,27.3,8  days,2023-12-31,1  days,62.3  %,70  nos,Drama,21,7,4,Mobile,2,0,1,WiFi,1,4,5,20,10,0,0,N/A
CUST00049,Amazon Prime,30,25-34,Male,Kolkata,49,2019-12-16,Bengali,Premium,Credit Card,Quarterly,No, ₹ 526.81 ," ₹ 24,992.15 ",0,0,0,No,888  min,206.5  min,32,78.2,10  days,2023-12-25,7  days,72.1  %,18  nos,Thriller,18,3,2,Smart TV,3,1,0,4G,1,2,6,11,0,0,0,N/A
CUST00050,ZEE5,21,18-24,Female,Delhi,5,2023-08-02,Tamil,Premium,Debit Card,Annual,No, ₹ 503.94 ," ₹ 2,307.73 ",0,1,0,No,934  min,217.2  min,25,26.6,6  days,2023-12-28,4  days,76.3  %,49  nos,Romance,14,3,2,Laptop,2,2,1,5G,0,2,0,30,12,0,0,N/A
CUST00051,Amazon Prime,18,18-24,Male,Mumbai,30,2021-07-01,Marathi,Standard,UPI,Monthly,Yes, ₹ 278.81 ," ₹ 8,189.30 ",1,0,0,No,826  min,192.1  min,28,32.1,8  days,2024-01-01,0  days,88.2  %,24  nos,Action,0,7,1,Desktop,3,2,2,4G,1,3,6,41,13,0,0,N/A
CUST00052,Netflix,37,35-44,Female,Ahmedabad,36,2021-01-04,Malayalam,Family,UPI,Quarterly,Yes, ₹ 664.31 ," ₹ 22,091.84 ",0,0,1,Yes,823  min,191.4  min,24,36.4,12  days,2023-12-12,20  days,74.7  %,33  nos,Horror,10,5,3,Smart TV,5,2,0,WiFi,1,4,6,27,6,0,0,N/A
CUST00053,Netflix,35,35-44,Male,Ahmedabad,20,2022-04-21,Kannada,Premium,Debit Card,Monthly,Yes, ₹ 493.09 ," ₹ 8,860.74 ",1,0,0,No,1426  min,331.6  min,17,5,9  days,2023-12-29,3  days,55  %,59  nos,Documentary,20,3,4,Tablet,5,1,1,5G,0,2,4,31,5,0,1,Financial Constraint
CUST00054,Amazon Prime,39,35-44,Male,Jaipur,25,2021-11-22,Malayalam,Standard,Net Banking,Monthly,Yes, ₹ 326.52 ," ₹ 8,074.44 ",0,0,0,No,1305  min,303.5  min,22,48.6,16  days,2023-12-25,7  days,74.8  %,15  nos,Sci-Fi,23,6,3,Mobile,1,2,1,3G,3,4,4,32,6,0,0,N/A
CUST00055,Netflix,35,35-44,Male,Jaipur,1,2023-11-04,Gujarati,Standard,UPI,Annual,Yes, ₹ 286.08 , ₹ 283.81 ,0,0,0,No,892  min,207.4  min,15,61,2  days,2023-12-31,1  days,86  %,22  nos,Comedy,19,4,1,Smart TV,4,2,0,4G,3,4,7,57,0,0,0,N/A
CUST00056,Netflix,25,25-34,Female,Ahmedabad,17,2022-07-21,Malayalam,Standard,Credit Card,Annual,Yes, ₹ 328.48 ," ₹ 5,483.08 ",0,1,0,No,759  min,176.5  min,27,80,6  days,2023-12-29,3  days,80.7  %,35  nos,Romance,6,7,2,Laptop,0,0,0,5G,1,2,5,6,11,0,0,N/A
CUST00057,SonyLiv,32,25-34,Male,Mumbai,20,2022-05-02,Bengali,Premium,Debit Card,Quarterly,No, ₹ 469.85 ," ₹ 8,616.88 ",0,0,0,No,1333  min,310  min,13,54.6,30  days,2023-12-31,1  days,61.8  %,53  nos,Horror,17,5,2,Smart TV,4,1,3,4G,1,2,10,35,6,0,0,N/A
CUST00058,Amazon Prime,23,18-24,Male,Chennai,40,2020-09-17,Kannada,Basic,Net Banking,Monthly,No, ₹ 105.96 ," ₹ 4,051.00 ",0,0,1,No,612  min,142.3  min,16,32,15  days,2023-12-27,5  days,73.8  %,63  nos,Documentary,0,1,4,Desktop,2,0,0,4G,0,3,1,18,8,38.2,0,N/A
CUST00059,Netflix,21,18-24,Female,Bangalore,35,2021-02-07,Marathi,Premium,UPI,Monthly,Yes, ₹ 524.31 ," ₹ 16,855.98 ",1,0,0,No,553  min,128.6  min,8,63.4,21  days,2023-12-30,2  days,51.6  %,50  nos,Documentary,19,9,2,Tablet,2,0,1,3G,0,3,4,38,2,0,0,N/A
CUST00060,SonyLiv,18,18-24,Male,Lucknow,48,2020-01-14,Kannada,Standard,UPI,Annual,No, ₹ 324.45 ," ₹ 14,125.28 ",0,1,1,No,710  min,165.1  min,17,55.9,14  days,2023-12-30,2  days,43  %,32  nos,Sci-Fi,0,8,3,Tablet,2,2,0,WiFi,0,3,4,17,7,0,1,Found Alternative
CUST00061,ZEE5,27,25-34,Non-Binary,Delhi,30,2021-06-27,English,Premium,Net Banking,Monthly,Yes, ₹ 459.41 ," ₹ 12,334.05 ",0,0,0,Yes,1199  min,278.8  min,16,91.7,16  days,2023-12-28,4  days,83  %,15  nos,Horror,19,3,6,Laptop,3,2,0,WiFi,2,1,9,14,4,0,0,N/A
CUST00062,Netflix,26,25-34,Female,Lucknow,47,2020-02-05,Tamil,Basic,UPI,Annual,Yes, ₹ 176.49 ," ₹ 7,350.43 ",0,0,0,No,1377  min,320.2  min,15,53.3,24  days,2023-12-17,15  days,61.1  %,36  nos,Comedy,13,6,1,Mobile,4,0,0,4G,1,4,8,31,11,45.3,0,N/A
CUST00063,JioHotstar,25,25-34,Female,Ahmedabad,20,2022-04-22,Gujarati,Basic,Credit Card,Monthly,Yes, ₹ 157.64 ," ₹ 2,982.05 ",1,0,1,No,593  min,137.9  min,19,28.6,13  days,2023-12-30,2  days,51.5  %,37  nos,Romance,7,6,3,Smart TV,1,0,0,WiFi,0,3,8,22,6,0,0,N/A
CUST00064,SonyLiv,38,35-44,Male,Pune,40,2020-09-17,Marathi,Standard,Wallet,Monthly,No, ₹ 274.21 ," ₹ 10,406.10 ",1,0,0,No,0  min,0  min,19,81,22  days,2024-01-01,0  days,42.9  %,55  nos,Reality,23,6,1,Tablet,1,1,0,4G,1,4,8,12,3,0,0,N/A
CUST00065,ZEE5,43,35-44,Female,Kolkata,53,2019-07-28,Telugu,Standard,Credit Card,Quarterly,Yes, ₹ 293.54 ," ₹ 14,805.64 ",0,1,2,No,588  min,136.7  min,16,60.1,13  days,2023-12-30,2  days,100  %,68  nos,Comedy,24,0,6,Smart TV,1,2,0,5G,2,2,5,8,0,0,0,N/A
CUST00066,Amazon Prime,44,35-44,Male,Lucknow,25,2021-11-15,Tamil,Basic,UPI,Annual,Yes, ₹ 142.60 ," ₹ 3,100.92 ",1,0,0,No,790  min,183.7  min,20,64.4,25  days,2023-12-31,1  days,72.5  %,21  nos,Horror,6,6,1,Smart TV,3,1,0,5G,0,4,5,0,11,0,0,N/A
CUST00067,Netflix,31,25-34,Female,Ahmedabad,56,2019-05-26,Bengali,Premium,Credit Card,Monthly,No, ₹ 499.30 ," ₹ 24,357.03 ",0,1,1,No,1186  min,275.8  min,23,53.8,14  days,2024-01-01,0  days,60.2  %,43  nos,Documentary,24,3,4,Desktop,5,0,0,5G,0,2,10,23,4,0,1,Financial Constraint
CUST00068,Netflix,31,25-34,Female,Ahmedabad,26,2021-11-08,Bengali,Standard,UPI,Annual,Yes, ₹ 309.74 ," ₹ 7,127.71 ",0,0,0,Yes,920  min,214  min,14,38.6,22  days,2023-12-28,4  days,76.2  %,46  nos,Sports,11,6,3,Mobile,1,1,0,4G,2,5,6,22,6,0,0,N/A
CUST00069,JioHotstar,30,25-34,Male,Kolkata,45,2020-04-12,Kannada,Basic,UPI,Monthly,No, ₹ 176.46 ," ₹ 6,887.91 ",0,0,0,Yes,819  min,190.5  min,8,54,16  days,2023-12-31,1  days,33  %,49  nos,Sports,35,4,7,Mobile,4,2,0,4G,0,2,7,22,11,9.6,0,N/A
CUST00070,JioHotstar,25,25-34,Female,Pune,41,2020-08-17,Tamil,Premium,Debit Card,Annual,Yes, ₹ 477.32 ," ₹ 19,391.21 ",2,0,0,No,1739  min,404.4  min,16,37.8,9  days,2023-12-30,2  days,38.1  %,7  nos,Horror,17,7,1,Mobile,2,0,0,WiFi,0,3,6,22,0,0,0,N/A
CUST00071,Amazon Prime,51,45-54,Non-Binary,Hyderabad,38,2020-11-12,Marathi,Basic,UPI,Annual,No, ₹ 159.98 ," ₹ 5,918.92 ",1,0,3,Yes,1953  min,454.2  min,16,75.2,3  days,2023-12-28,4  days,64.8  %,28  nos,Thriller,4,3,5,Smart TV,4,1,0,4G,0,3,4,16,8,13.3,1,Financial Constraint
CUST00072,Netflix,21,18-24,Male,Lucknow,15,2022-10-08,English,Premium,Debit Card,Quarterly,No, ₹ 512.59 ," ₹ 6,804.25 ",2,0,0,No,440  min,102.3  min,24,56.6,10  days,2023-12-21,11  days,42.3  %,28  nos,Reality,29,5,3,Mobile,2,2,0,5G,1,4,8,34,7,0,1,Price
CUST00073,Netflix,42,35-44,Male,Mumbai,9,2023-03-08,Hindi,Standard,UPI,Quarterly,Yes, ₹ 317.48 ," ₹ 2,542.46 ",1,1,0,Yes,1075  min,250  min,24,54.2,25  days,2023-12-18,14  days,17.2  %,38  nos,Documentary,19,3,0,Smart TV,4,3,0,4G,2,3,6,41,3,0,0,N/A
CUST00074,SonyLiv,29,25-34,Female,Delhi,31,2021-05-21,Gujarati,Basic,Debit Card,Annual,No, ₹ 126.66 ," ₹ 3,725.56 ",1,1,0,No,495  min,115.1  min,27,50.2,11  days,2023-12-29,3  days,67.9  %,19  nos,Action,3,5,4,Mobile,1,3,0,4G,0,3,6,13,3,41.9,0,N/A
