show_id,title,type,platform,primary_genre,genres,director,cast,country,language,release_year,date_added,rating,duration,duration_minutes,num_seasons,num_episodes,imdb_rating,rotten_tomatoes_score,imdb_votes,budget_million_usd,production_company,awards_won,hours_watched_million,description
s13,Squid Game,TV Show,Netflix,Reality TV,Reality TV,,"Ayaka Miyoshi, Masami Nagasawa, Millie Bobby Brown, Daniel Craig",Japan,Japanese,2013,2016-02-12,TV-PG,1 Season,,1.0,10.0,9.0,97,3684,,T-Series,8,5,A detective must confront family secrets while risking everything.
s14,A Distant Memory,Movie,Amazon Prime Video,Horror,Horror,Quentin Hirani,"Park Seo-joon, Margot Robbie, Will Smith",Germany,German,2021,2022-07-13,PG-13,125 min,125.0,,,7.2,69,33652,4.3,Illumination,0,81,An isolated mansion hides a terrifying government.
s15,House of Cards,TV Show,Netflix,Mystery,Mystery,,"Emma Thompson, Nicole Kidman, Oscar Isaac",Mexico,Spanish,2023,2025-03-23,TV-Y,4 Seasons,,4.0,40.0,8.0,78,629,,Skydance Media,0,0,"As a deadly accident unfolds, soldier discovers a family conspiracy."
s16,Shogun: Return,TV Show,HBO Max,Comedy,Comedy,Lars Jenkins,"Millie Bobby Brown, Jun Ji-hyun, Denzel Washington, Timothée Chalamet, Park Seo-joon",United Kingdom,English,2025,2026-01-07,TV-MA,6 Seasons,,6.0,48.0,5.9,61,24146,,A24,0,28,"When doctor meets a mysterious woman, their lives turn upside down."
s17,The Last Journey,Movie,Apple TV+,Documentary,"Documentary, War",,"Ranveer Singh, Denzel Washington, Ryan Reynolds, Léa Seydoux, Meryl Streep",South Korea,Korean,2015,2020-03-25,R,95 min,95.0,,,6.6,59,19321,2.8,Pixar,0,10,An in-depth look at tech billionaires and its impact on society.
s18,Beyond Forever,Movie,Disney+,Documentary,"Documentary, War",Kathryn Iñárritu,"Ayaka Miyoshi, Pedro Pascal, Aamir Khan, Angelina Jolie, Margot Robbie",Canada,English,2020,2021-12-16,G,120 min,120.0,,,7.6,79,99523,0.6,Warner Bros,3,228,The true story of a deadly accident and the people who lived it.
s19,The Last Kingdom,Movie,Paramount+,Crime,Crime,Martin Scorsese,"Zendaya, Park Seo-joon",Spain,Spanish,2023,2024-12-22,R,134 min,134.0,,,7.4,69,6382,18.7,Ghibli,0,13,"As a shocking revelation unfolds, doctor discovers a hidden truth."
s20,Beyond the Silence,Movie,Netflix,Drama,"Drama, Sci-Fi",Hirokazu Jenkins,"Ken Watanabe, Antonio Banderas, Zendaya",Japan,Japanese,2015,2015-11-14,R,86 min,86.0,,,5.8,58,3396,20.5,Bad Robot,0,6,"As a deadly accident unfolds, musician discovers a family conspiracy."
s21,In the Name of Love,Movie,Amazon Prime Video,Comedy,"Comedy, Crime",Chloé Cuarón,"Marion Cotillard, Scarlett Johansson, Leonardo DiCaprio, Antonio Banderas, Lupita Nyong'o",United States,English,2021,2021-05-19,PG-13,147 min,147.0,,,8.1,66,5144,9.5,Universal Pictures,0,3,"When artist meets a charming stranger, their lives turn upside down."
s22,In the Depths of Night,Movie,Netflix,Action,Action,Anurag del Toro,"Denzel Washington, Aamir Khan, Ken Watanabe, Jennifer Lawrence",United States,English,2022,2022-01-03,G,136 min,136.0,,,6.1,58,56584,17.5,Yash Raj Films,0,69,artist must stop a shadowy organization before trying to save those he loves.
s23,When We Were Young,Movie,Netflix,Fantasy,"Fantasy, Thriller",Alejandro Scorsese,"Gong Yoo, Nicole Kidman, Marion Cotillard",United States,English,2026,2026-01-02,NC-17,129 min,129.0,,,6.9,68,92331,12.3,Universal Pictures,0,200,"When detective loses everything, they embark on a journey to rebuild her life."
s24,The Marvelous Mrs: Legacy,TV Show,Netflix,Reality TV,"Reality TV, Kids",,"Kim Soo-hyun, Brad Pitt",Japan,Japanese,2022,2024-06-11,TV-PG,4 Seasons,,4.0,48.0,5.0,52,34327,,Pixar,0,84,"As an old friend returning unfolds, detective discovers a hidden truth."
s25,A Broken Promise,Movie,Amazon Prime Video,Action,Action,Greta Almodóvar,"IU, Emma Thompson, Jenna Ortega",United States,English,2024,2024-02-02,PG-13,136 min,136.0,,,5.6,65,4196,43.4,Netflix Studios,0,3,"After a mysterious disappearance, detective seeks revenge against a ruthless crime lord."
s26,The Lincoln Lawyer,TV Show,Amazon Prime Video,Comedy,"Comedy, Crime",Alfonso Cameron,"Noah Schnapp, Jenna Ortega",India,Hindi,2013,2018-04-06,TV-Y7,2 Seasons,,2.0,12.0,6.9,53,123139,,Bad Robot,0,230,A soldier accidentally a shocking revelation and hilarity ensues.
s27,Severance: Return,TV Show,Amazon Prime Video,Kids,Kids,,"Nicole Kidman, Angelina Jolie, Millie Bobby Brown",South Korea,Korean,2025,2026-06-05,TV-PG,2 Seasons,,2.0,16.0,4.9,46,137,,CJ Entertainment,0,0,A criminal must confront impossible odds while discovering who he truly is.
s28,Mr. Robot,TV Show,Hulu,Crime,"Crime, Documentary",,"Masami Nagasawa, Oscar Isaac, Millie Bobby Brown, Kim Soo-hyun",Australia,English,1998,2003-11-07,TV-14,6 Seasons,,6.0,132.0,8.3,76,20713,,Blumhouse,1,46,"As an old friend returning unfolds, detective discovers a family conspiracy."
s29,The Morning Show,TV Show,Amazon Prime Video,Sports,"Sports, Sci-Fi",,"Priyanka Chopra, Oscar Isaac",Japan,Japanese,2024,2026-09-19,TV-G,1 Season,,1.0,22.0,8.5,85,21207,,Lucasfilm,0,38,A criminal must confront impossible odds while discovering who he truly is.
s30,Succession,TV Show,HBO Max,Drama,"Drama, Documentary",,"Amitabh Bachchan, Sakura Ando, Léa Seydoux, Scarlett Johansson",United Kingdom,English,2025,2026-01-04,TV-Y7,1 Season,,1.0,8.0,6.8,54,2794,,Paramount Pictures,1,4,A scientist must confront impossible odds while risking everything.
s31,The Marvelous Mrs,TV Show,Netflix,Crime,"Crime, Documentary",,"Marion Cotillard, Ayaka Miyoshi, Leonardo DiCaprio",United States,English,2020,2020-08-23,TV-Y7,2 Seasons,,2.0,44.0,6.5,66,1666,,Studio Ghibli,0,1,"As a mysterious disappearance unfolds, artist discovers a family conspiracy."
s32,In the Heart of Winter,Movie,Netflix,Fantasy,Fantasy,,"Oscar Isaac, Margot Robbie, Penélope Cruz",Germany,German,2023,2023-05-01,PG-13,141 min,141.0,,,7.6,82,2983,66.0,Red Chillies Entertainment,1,5,"As a mysterious disappearance unfolds, musician discovers a hidden truth."
s33,Wednesday,TV Show,Amazon Prime Video,Reality TV,"Reality TV, Thriller",,"Jenna Ortega, Park Seo-joon, Tilda Swinton, Masami Nagasawa, Kareena Kapoor",France,French,1995,1995-04-02,TV-14,2 Seasons,,2.0,24.0,8.5,99,50,,Warner Bros,1,0,A artist must confront family secrets while risking everything.
s34,In the Heart of Winter,Movie,Netflix,Comedy,"Comedy, Action",Steven Akhtar,"Aamir Khan, Paul Mescal, Kareena Kapoor, Priyanka Chopra",Italy,Italian,2009,2010-02-08,PG-13,95 min,95.0,,,5.5,62,7321,53.8,20th Century Studios,0,3,A mother accidentally an old friend returning and hilarity ensues.
s35,When Night Comes,Movie,HBO Max,Comedy,Comedy,Anurag Tarantino,"IU, Daniel Craig, Deepika Padukone",United States,English,2024,2024-03-11,PG,93 min,93.0,,,6.5,66,316,12.0,Working Title Films,0,0,"When journalist meets a rival, their lives turn upside down."
s36,The Last Dance,Movie,Hulu,Sci-Fi,Sci-Fi,Steven Tarantino,"Alia Bhatt, Millie Bobby Brown, Penélope Cruz",Japan,Japanese,2023,2026-11-08,PG-13,110 min,110.0,,,9.0,79,13223,8.6,Netflix Studios,0,13,"When artist discovers they can see the future, reality begins to shift."
s37,The Witcher: Legacy,TV Show,HBO Max,Kids,"Kids, Game Show",Ava von Trier,"Viola Davis, Tom Hanks",United States,English,2016,2016-09-15,TV-Y7,1 Season,,1.0,12.0,6.8,48,98281,,Ghibli,0,149,"When doctor loses everything, they embark on a journey to find redemption."
s38,A Distant Memory,Movie,Amazon Prime Video,Action,Action,Cate Scorsese,"Paul Mescal, Scarlett Johansson, Kareena Kapoor",United States,English,2003,2003-01-06,NC-17,114 min,114.0,,,7.2,60,857,7.7,DreamWorks,0,1,A former soldier is pulled back into action when an old friend returning.
s39,In the Name of Love,Movie,HBO Max,Action,"Action, Romance",David Bigelow,"Ranbir Kapoor, Cate Blanchett, Emma Thompson, Antonio Banderas",United Kingdom,English,2024,2025-04-13,PG,153 min,153.0,,,6.3,53,422306,76.7,MRC,0,318,A former hitman is pulled back into action when a shocking revelation.
s40,The Morning Show,TV Show,Paramount+,Thriller,Thriller,,"Denzel Washington, Jennifer Lawrence",United States,English,2020,2020-08-23,TV-PG,1 Season,,1.0,10.0,7.5,90,12122,,Walt Disney Pictures,0,8,A series of murders leads artist into a deadly game.
s41,Reacher,TV Show,Paramount+,Drama,"Drama, Anime",,"Jennifer Lawrence, Aamir Khan, Léa Seydoux",South Korea,Korean,2025,2025-10-10,TV-MA,2 Seasons,,2.0,20.0,7.0,74,10924,,Yash Raj Films,0,9,"As a shocking revelation unfolds, artist discovers a family conspiracy."
s42,Bridgerton,TV Show,Amazon Prime Video,Animation,"Animation, Comedy",Rajkumar Akhtar,"Ranveer Singh, Paul Mescal",South Korea,Korean,2021,2022-11-27,TV-14,2 Seasons,,2.0,20.0,6.6,83,43370,,Studio Ghibli,0,105,"As a deadly accident unfolds, soldier discovers a hidden truth."
s43,The Last of Us,TV Show,Amazon Prime Video,Drama,"Drama, Comedy",,"Scarlett Johansson, Jun Ji-hyun",United States,English,2020,2025-07-05,TV-G,1 Season,,1.0,10.0,5.4,49,3830,,Illumination,0,2,"As an old friend returning unfolds, artist discovers a family conspiracy."
s44,Severance,TV Show,Netflix,Documentary,"Documentary, Talk Show",,"Javier Bardem, Angelina Jolie",India,Hindi,2008,2013-10-05,TV-14,2 Seasons,,2.0,12.0,7.0,76,12018,,Illumination,0,24,The true story of a deadly accident and the people who lived it.
s45,In the Depths of Night,Movie,Peacock,Comedy,Comedy,Steven Fincher,"Jenna Ortega, Nicole Kidman",Japan,Japanese,2024,2024-05-18,PG-13,40 min,40.0,,,5.4,55,922,12.6,Bad Robot,0,1,A journalist accidentally a mysterious disappearance and hilarity ensues.
s46,The Diplomat: Legacy,TV Show,Amazon Prime Video,Kids,"Kids, Drama",Guillermo Tarantino,"Zendaya, Will Smith, Cate Blanchett",France,French,2026,2026-05-07,TV-PG,3 Seasons,,3.0,36.0,6.4,64,764,,Universal Pictures,0,1,"When detective loses everything, they embark on a journey to uncover the truth."
s47,A Silent Echo,Movie,HBO Max,Comedy,"Comedy, Thriller",Chloé Peele,"Marion Cotillard, Millie Bobby Brown, Léa Seydoux, Gong Yoo",China,Mandarin,2017,2022-05-07,PG-13,156 min,156.0,,,6.2,64,1274,29.5,CJ Entertainment,0,1,A mother accidentally a mysterious disappearance and hilarity ensues.
s48,The Gentlemen: Revenge,TV Show,Netflix,Crime,"Crime, Talk Show",Chloé von Trier,"Jenna Ortega, Antonio Banderas, Ken Watanabe, Song Kang-ho, Angelina Jolie",United States,English,2016,2016-02-05,TV-MA,2 Seasons,,2.0,20.0,8.1,59,22889,,Pixar,1,37,"When teacher loses everything, they embark on a journey to find redemption."
s49,The Last Light,Movie,Amazon Prime Video,Romance,Romance,Cate Iñárritu,"Gong Yoo, Florence Pugh, Daniel Craig",United States,English,2022,2022-02-10,Not Rated,81 min,81.0,,,7.2,54,405574,5.9,Walt Disney Pictures,0,918,"After years apart, doctor reconnects with a rival in remote island."
s50,Between Lives,Movie,HBO Max,Fantasy,"Fantasy, Sci-Fi",Barry Chan-wook,"Oscar Isaac, Antonio Banderas, Sakura Ando",United States,English,2017,2017-12-20,Not Rated,64 min,64.0,,,8.3,85,11694,80.5,Illumination,0,15,"As a shocking revelation unfolds, teacher discovers his true identity."
s51,A Broken Promise,Movie,Apple TV+,Sci-Fi,Sci-Fi,Chloé Joon-ho,"Javier Bardem, Leonardo DiCaprio, Idris Elba, Penélope Cruz",India,Hindi,2011,2014-05-14,PG,128 min,128.0,,,7.0,72,19088,54.6,Bad Robot,0,18,A breakthrough in time travel leads to unforeseen consequences.
s52,Between Two Worlds,Movie,JioCinema,Animation,Animation,Chloé Cuarón,"Aamir Khan, Brad Pitt, Margot Robbie, Meryl Streep",India,Hindi,2017,2022-07-07,PG-13,77 min,77.0,,,6.2,70,301,80.3,DreamWorks,0,0,"As a shocking revelation unfolds, criminal discovers his true identity."
s53,Echoes,Movie,Paramount+,Animation,"Animation, Thriller",,"Ranbir Kapoor, Zendaya, Ken Watanabe, Hiroyuki Sanada",South Korea,Korean,2022,2023-06-09,G,118 min,118.0,,,6.4,52,24922,19.2,Sony Pictures,0,42,"As a deadly accident unfolds, criminal discovers his true identity."
s54,Between Tomorrow and Never,Movie,HBO Max,Action,"Action, Adventure",Denis Jenkins,"Idris Elba, Robert De Niro, Scarlett Johansson, Dwayne Johnson, Kim Soo-hyun",India,Hindi,2011,2011-11-22,NC-17,102 min,102.0,,,8.1,77,572,241.6,Excel Entertainment,0,0,A former hitman is pulled back into action when a deadly accident.
s55,When We Were Young,Movie,Netflix,Drama,Drama,Bong Cameron,"Ranbir Kapoor, Antonio Banderas, Priyanka Chopra, Song Kang-ho",China,Mandarin,2009,2009-10-14,NC-17,113 min,113.0,,,7.4,69,50,83.3,Lionsgate,0,0,"As a deadly accident unfolds, teacher discovers his true identity."
s56,Ted Lasso,TV Show,HBO Max,Animation,"Animation, Documentary",,"Timothée Chalamet, Alia Bhatt, Javier Bardem, IU",United States,English,2016,2016-06-11,TV-14,1 Season,,1.0,12.0,7.6,73,242,,MAPPA,0,0,A criminal must confront moral dilemmas while risking everything.
s57,Beyond Forever,Movie,HBO Max,Romance,Romance,,"Léa Seydoux, Denzel Washington, Florence Pugh, Noah Schnapp",Mexico,Spanish,2012,2016-05-04,R,157 min,157.0,,,7.7,82,9923,3.9,Dharma Productions,0,8,"A doctor falls for a charming stranger, but their worlds couldn't be more different."
s58,A Distant Memory,Movie,HBO Max,Animation,"Animation, Fantasy",Jordan Coogler,"Park Seo-joon, Angelina Jolie, Viola Davis, Gong Yoo",United States,English,2018,2018-09-22,PG-13,103 min,103.0,,,4.3,53,28540,53.1,Excel Entertainment,0,67,A doctor must confront his past while risking everything.
s59,Between Tomorrow and Never,Movie,Netflix,Animation,Animation,Lars Almodóvar,"Sakura Ando, Tilda Swinton, Vicky Kaushal, Marion Cotillard",United States,English,2022,2025-08-06,PG-13,108 min,108.0,,,6.1,69,13457,17.9,MAPPA,0,18,"When detective loses everything, they embark on a journey to rebuild her life."
s60,In the Depths of Night,Movie,Netflix,Comedy,"Comedy, Romance",,"Marion Cotillard, Paul Mescal",South Korea,Korean,2026,2026-07-06,PG-13,97 min,97.0,,,5.9,59,7054,11.1,A24,0,5,"When scientist meets a charming stranger, their lives turn upside down."
s61,Fallout,TV Show,Netflix,Drama,Drama,Ryan Villeneuve,"Amitabh Bachchan, Jun Ji-hyun, Park Seo-joon, Dwayne Johnson, Deepika Padukone",Canada,English,2020,2020-08-01,TV-14,3 Seasons,,3.0,36.0,6.4,68,14926,,Focus Features,0,28,"When criminal loses everything, they embark on a journey to find redemption."
s62,Lupin: Revenge,TV Show,JioCinema,Drama,Drama,,"Denzel Washington, Will Smith",United Kingdom,English,2017,2018-08-03,TV-MA,2 Seasons,,2.0,20.0,8.2,87,22251,,Illumination,0,44,A teacher must confront moral dilemmas while discovering who he truly is.
s63,Vertigo,Movie,Disney+,Drama,"Drama, Fantasy, Musical",Ryan Tarantino,"Paul Mescal, Millie Bobby Brown, Ryan Reynolds",United Kingdom,English,2016,2017-10-22,R,127 min,127.0,,,7.6,77,202,5.3,Pixar,1,0,A scientist must confront his past while discovering who he truly is.
s64,Between Tomorrow and Never,Movie,Amazon Prime Video,Drama,Drama,Akira Coogler,"Lupita Nyong'o, Meryl Streep",South Korea,Korean,2008,2010-05-05,PG,110 min,110.0,,,5.0,33,97,23.2,T-Series,0,0,A teacher must confront his past while risking everything.
s65,The Pilgrim,Movie,Amazon Prime Video,Romance,Romance,Barry Cuarón,"Deepika Padukone, Javier Bardem, Lupita Nyong'o, Paul Mescal",United States,English,2024,2024-02-17,PG,146 min,146.0,,,6.8,83,9223,10.9,Lucasfilm,0,8,"After years apart, journalist reconnects with a stranger in small town."
s66,The Diplomat,TV Show,Amazon Prime Video,Sci-Fi,"Sci-Fi, Thriller",,"Cate Blanchett, Robert De Niro",United States,English,2014,2015-05-06,TV-G,1 Season,,1.0,8.0,7.5,74,292719,,Red Chillies Entertainment,0,238,A breakthrough in time travel leads to unforeseen consequences.
s67,Wednesday,TV Show,Netflix,Anime,Anime,Steven Almodóvar,"Tilda Swinton, Millie Bobby Brown, Aamir Khan, Priyanka Chopra, Idris Elba",United States,English,2024,2025-09-13,TV-14,7 Seasons,,7.0,56.0,6.9,63,16879,,Apple Studios,0,12,A musician must confront his past while risking everything.
s68,The Last of Us: Uprising,TV Show,Amazon Prime Video,Reality TV,"Reality TV, Drama, Thriller",,"Jennifer Lawrence, Park Seo-joon, Denzel Washington, Florence Pugh, Jun Ji-hyun",Mexico,Spanish,2023,2026-12-28,TV-14,4 Seasons,,4.0,48.0,6.4,61,10958,,Lucasfilm,0,5,"As a mysterious disappearance unfolds, journalist discovers a family conspiracy."
s69,A Silent Echo,Movie,Netflix,Romance,"Romance, Documentary, Fantasy",,"Margot Robbie, Tom Hanks, Daniel Craig",United Kingdom,English,2016,2017-11-27,PG,135 min,135.0,,,5.8,64,1674,8.2,Legendary Pictures,0,3,"A artist falls for a charming stranger, but their worlds couldn't be more different."
s70,The Lincoln Lawyer,TV Show,Disney+,Drama,Drama,,"Antonio Banderas, Florence Pugh, Léa Seydoux, Jun Ji-hyun, Nicole Kidman",India,Hindi,2022,2022-02-02,TV-PG,2 Seasons,,2.0,20.0,8.0,77,30498,,Working Title Films,0,30,A criminal must confront personal demons while trying to save those he loves.
s71,In the Depths of Night,Movie,Paramount+,Comedy,Comedy,,"Kim Soo-hyun, Hiroyuki Sanada, Millie Bobby Brown, Ken Watanabe",China,Mandarin,2018,2023-01-03,PG-13,103 min,103.0,,,6.0,54,729,5.8,CJ Entertainment,0,1,scientist must navigate the chaos of suburban life.
s72,When the Stars Fall,Movie,Hulu,Comedy,"Comedy, Adventure",,"Park Seo-joon, Scarlett Johansson, Javier Bardem",Japan,Japanese,1995,2000-01-27,PG,115 min,115.0,,,6.8,63,4564,28.6,Excel Entertainment,0,3,"When journalist meets a mysterious woman, their lives turn upside down."
s73,Kingdom: Return,TV Show,Hulu,Anime,"Anime, Sci-Fi",,"Alia Bhatt, Florence Pugh, Robert De Niro, Cate Blanchett, Jun Ji-hyun",United States,English,2016,2016-03-01,TV-MA,1 Season,,1.0,10.0,7.1,62,3631,,Working Title Films,0,3,A musician must confront his past while discovering who he truly is.
s74,The Last of Us: Revenge,TV Show,Amazon Prime Video,Documentary,"Documentary, Sports, Animation",Steven Chan-wook,"Alia Bhatt, Kim Soo-hyun, Dwayne Johnson",United States,English,2026,2026-03-04,TV-MA,2 Seasons,,2.0,24.0,5.4,56,9473,,MRC,0,6,An investigation into political scandal that shook the world.
s75,A Broken Promise,Movie,Disney+,Comedy,"Comedy, Action",,"Ken Watanabe, Marion Cotillard, Jennifer Lawrence, Meryl Streep, Tilda Swinton",Australia,English,2025,2026-11-28,R,85 min,85.0,,,6.0,54,3875,35.1,MRC,0,1,"When criminal meets a stranger, their lives turn upside down."
s76,A Silent Echo,Movie,Amazon Prime Video,Thriller,Thriller,,"Margot Robbie, Penélope Cruz, Aamir Khan",United Kingdom,English,2020,2020-08-21,R,107 min,107.0,,,7.0,67,1166,7.4,Amazon MGM Studios,0,2,"When teacher witnesses a crime, they become the target of a ruthless crime lord."
s77,The Empress,TV Show,Amazon Prime Video,Comedy,"Comedy, Animation",,"Oscar Isaac, IU, Denzel Washington, Penélope Cruz",United States,English,2022,2023-03-05,TV-14,1 Season,,1.0,10.0,7.6,64,99116,,CJ Entertainment,1,84,musician must navigate the chaos of modern dating.
s78,A Fragile Heart,Movie,Disney+,Comedy,"Comedy, Animation, Crime",,"Will Smith, Zendaya, Daniel Craig",India,Hindi,2022,2022-07-20,PG,112 min,112.0,,,7.5,66,37709,2.0,Sony Pictures,0,68,A scientist accidentally a deadly accident and hilarity ensues.
s79,The Crown,TV Show,Hulu,Comedy,"Comedy, Anime",Sofia Kashyap,"Gong Yoo, Scarlett Johansson, Will Smith, Kim Soo-hyun",South Korea,Korean,2022,2023-12-18,TV-MA,1 Season,,1.0,12.0,7.3,76,13753,,Studio Ghibli,0,33,artist must navigate the chaos of modern dating.
s80,Beyond Reality,Movie,Hulu,War,"War, Action",,"Kim Soo-hyun, Viola Davis, Park Seo-joon",United States,English,2013,2014-12-21,R,101 min,101.0,,,7.2,73,365165,0.5,Amazon MGM Studios,0,609,"As an old friend returning unfolds, scientist discovers a hidden truth."
s81,Between Lines,Movie,Amazon Prime Video,Animation,"Animation, Comedy",Alejandro Gerwig,"Ayaka Miyoshi, Brad Pitt, Leonardo DiCaprio",United Kingdom,English,1994,1995-09-24,Not Rated,87 min,87.0,,,7.3,74,2640,20.4,Working Title Films,0,5,A soldier must confront his past while trying to save those he loves.
s82,House of Cards,TV Show,HBO Max,Comedy,"Comedy, Kids",,"Jenna Ortega, Alia Bhatt, Meryl Streep",United States,English,2022,2023-10-07,TV-PG,1 Season,,1.0,10.0,7.9,63,341,,Working Title Films,2,0,mother must navigate the chaos of parenthood.
s83,Paradox,Movie,Crunchyroll,Romance,"Romance, Thriller, Crime",,"Priyanka Chopra, Alia Bhatt, Ayaka Miyoshi, Jenna Ortega",China,Mandarin,2020,2025-04-06,R,80 min,80.0,,,6.5,53,2786,14.0,Paramount Pictures,0,3,Two strangers meet in mansion and their lives are forever changed.
s84,House of Cards,TV Show,Amazon Prime Video,Game Show,"Game Show, Mystery, Animation",Lars Spielberg,"Jenna Ortega, Margot Robbie, Léa Seydoux, Leonardo DiCaprio",United States,English,2004,2006-08-15,TV-14,1 Season,,1.0,6.0,7.8,66,4621,,Lionsgate,0,10,"As a mysterious disappearance unfolds, detective discovers a family conspiracy."
s85,The White Lotus: Return,TV Show,JioCinema,Anime,"Anime, Talk Show",,"Park Seo-joon, Ken Watanabe, Ranbir Kapoor, Margot Robbie",South Korea,Korean,2002,2002-08-13,TV-14,2 Seasons,,2.0,16.0,7.7,86,95,,Ghibli,0,0,A mother must confront his past while trying to save those he loves.
s86,Kingdom: Return,TV Show,Peacock,Drama,"Drama, Sports",Denis Hirani,"Amitabh Bachchan, Viola Davis",United States,English,2010,2010-09-20,TV-14,3 Seasons,,3.0,30.0,8.3,83,919,,Yash Raj Films,0,1,A scientist must confront his past while discovering who he truly is.
s87,In the Shadow of Giants,Movie,Apple TV+,Action,Action,Barry Coogler,"Gong Yoo, Masami Nagasawa, Cate Blanchett",United States,English,2021,2026-01-19,PG-13,168 min,168.0,,,5.3,55,2745,23.9,Pixar,0,4,criminal must stop a shadowy organization before discovering who he truly is.
s88,Eclipse,Movie,Netflix,Mystery,"Mystery, Sci-Fi",David Spielberg,"Masami Nagasawa, Angelina Jolie, Ken Watanabe",Japan,Japanese,1995,1996-08-25,Not Rated,60 min,60.0,,,7.3,58,969,15.6,Netflix Studios,0,1,"As an old friend returning unfolds, artist discovers his true identity."
s89,The Marvelous Mrs,TV Show,Amazon Prime Video,Documentary,"Documentary, Animation",,"Brad Pitt, Alia Bhatt",United States,English,2018,2018-08-05,TV-MA,1 Season,,1.0,10.0,5.5,55,5639,,T-Series,0,9,The true story of a deadly accident and the people who lived it.
s90,The Last Journey,Movie,Amazon Prime Video,Horror,"Horror, Documentary",Sofia Kurosawa,"Marion Cotillard, Ryan Reynolds, Margot Robbie, Tom Hanks",United States,English,2005,2008-07-12,PG-13,92 min,92.0,,,5.3,42,69010,23.3,Illumination,0,37,"When teacher moves to apartment building, they awaken ancient curse."
